                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    105,                0.73512,                0.76162,                 0.8867,                 0.8249,                0.75446,                0.85748,                0.72901,                0.60184,                0.64873,                0.87303,             0.00021357,             0.00021357,             0.00021357
                    106,                0.73208,                0.74941,                  0.881,                0.83839,                0.74293,                0.85726,                0.72824,                0.60378,                 0.6515,                0.87348,             0.00020917,             0.00020917,             0.00020917
                    107,                0.73289,                0.74543,                0.87949,                   0.82,                0.75372,                0.85835,                0.72993,                0.60387,                0.65001,                0.87313,             0.00020477,             0.00020477,             0.00020477
                    108,                0.72232,                0.74718,                  0.879,                0.84544,                0.74605,                0.86084,                0.73317,                0.60258,                0.64717,                0.87378,             0.00020037,             0.00020037,             0.00020037
                    109,                0.72933,                0.74579,                0.87826,                0.83663,                0.74973,                0.85936,                0.73037,                0.60182,                0.64827,                0.87318,             0.00019596,             0.00019596,             0.00019596
                    110,                0.72741,                0.74003,                 0.8808,                0.84291,                0.74731,                0.86184,                0.73237,                0.60271,                0.64473,                0.87328,             0.00019156,             0.00019156,             0.00019156
                    111,                0.72446,                0.73223,                0.88027,                0.84739,                0.74492,                0.86097,                0.73159,                0.60262,                 0.6436,                0.87375,             0.00018716,             0.00018716,             0.00018716
                    112,                0.72176,                0.72408,                0.87899,                 0.8455,                0.74469,                 0.8634,                0.73391,                0.60322,                0.64028,                0.87317,             0.00018276,             0.00018276,             0.00018276
                    113,                0.72097,                0.72705,                0.87754,                0.83146,                 0.7561,                0.86296,                0.73358,                0.60186,                 0.6416,                0.87274,             0.00017836,             0.00017836,             0.00017836
                    114,                0.71751,                0.72652,                0.87548,                0.84684,                0.74338,                0.86345,                0.73403,                0.59951,                0.63702,                 0.8714,             0.00017395,             0.00017395,             0.00017395
                    115,                0.70711,                0.71867,                0.87333,                0.83425,                0.75676,                 0.8646,                0.73624,                 0.5966,                0.63416,                0.87077,             0.00016955,             0.00016955,             0.00016955
                    116,                0.71605,                0.72057,                0.87532,                0.84103,                0.74995,                0.86094,                0.73388,                 0.5971,                0.64032,                 0.8716,             0.00016515,             0.00016515,             0.00016515
                    117,                0.71725,                0.72549,                 0.8736,                 0.8346,                0.75583,                0.86384,                 0.7359,                0.59197,                0.63521,                0.86921,             0.00016075,             0.00016075,             0.00016075
                    118,                0.71423,                0.71714,                0.87664,                0.83267,                0.75694,                0.86309,                0.73598,                0.59348,                0.63311,                0.86979,             0.00015634,             0.00015634,             0.00015634
                    119,                0.70386,                0.70155,                0.87483,                0.84424,                0.74183,                0.86157,                0.73553,                0.59085,                0.63839,                0.86882,             0.00015194,             0.00015194,             0.00015194
                    120,                0.70525,                0.70887,                0.87558,                0.83712,                0.74891,                0.85978,                0.73384,                0.59409,                0.63744,                0.86975,             0.00014754,             0.00014754,             0.00014754
                    121,                0.70816,                0.70181,                0.87492,                0.82252,                0.77136,                0.86384,                0.73652,                0.59518,                 0.6334,                 0.8711,             0.00014314,             0.00014314,             0.00014314
                    122,                0.70195,                0.70122,                0.87001,                0.83864,                0.76134,                 0.8665,                0.73827,                0.59458,                0.63046,                0.86953,             0.00013874,             0.00013874,             0.00013874
                    123,                0.70804,                0.70347,                0.87433,                0.84398,                0.76146,                0.86698,                0.73892,                0.59194,                0.62689,                0.86896,             0.00013433,             0.00013433,             0.00013433
                    124,                0.70105,                0.70247,                0.87181,                0.84811,                0.76194,                0.86721,                0.73941,                0.59108,                0.62599,                0.86903,             0.00012993,             0.00012993,             0.00012993
                    125,                0.70864,                0.70505,                0.87468,                0.84878,                0.75523,                 0.8668,                0.73969,                0.58953,                 0.6258,                0.86899,             0.00012553,             0.00012553,             0.00012553
                    126,                0.69475,                0.68345,                0.87037,                0.83551,                0.76281,                0.86365,                0.73798,                0.58659,                0.62631,                 0.8673,             0.00012113,             0.00012113,             0.00012113
                    127,                0.69811,                0.69259,                0.87226,                0.82866,                0.76791,                0.86389,                0.73885,                0.58957,                0.63338,                0.86843,             0.00011672,             0.00011672,             0.00011672
                    128,                0.69571,                0.68838,                0.86891,                0.84124,                0.75612,                0.86499,                0.73923,                0.59098,                0.63285,                 0.8696,             0.00011232,             0.00011232,             0.00011232
                    129,                0.68942,                0.67887,                0.86877,                0.83439,                 0.7645,                0.86619,                0.74053,                0.58996,                0.62629,                0.86913,             0.00010792,             0.00010792,             0.00010792
                    130,                0.69076,                 0.6828,                0.87174,                0.84601,                0.75752,                0.86547,                0.73958,                0.58931,                0.62671,                0.86875,             0.00010352,             0.00010352,             0.00010352
                    131,                0.69109,                0.67249,                0.86831,                0.84054,                0.75969,                0.86549,                0.73971,                0.58738,                0.62403,                0.86805,             9.9116e-05,             9.9116e-05,             9.9116e-05
                    132,                0.68623,                0.67563,                0.86865,                0.83812,                 0.7655,                0.86713,                0.74285,                0.58336,                0.62259,                0.86721,             9.4714e-05,             9.4714e-05,             9.4714e-05
                    133,                0.68526,                0.67276,                0.86738,                0.84921,                0.75525,                0.86666,                0.74263,                0.58349,                0.62233,                0.86726,             9.0312e-05,             9.0312e-05,             9.0312e-05
                    134,                0.69249,                 0.6753,                0.86898,                0.84696,                0.76206,                 0.8688,                0.74456,                0.58269,                 0.6193,                0.86633,              8.591e-05,              8.591e-05,              8.591e-05
                    135,                0.69006,                0.67934,                0.86951,                0.85281,                0.75531,                0.86768,                0.74341,                0.58224,                0.62205,                0.86604,             8.1507e-05,             8.1507e-05,             8.1507e-05
                    136,                0.68464,                0.66848,                0.86825,                0.83058,                0.77028,                0.86689,                0.74309,                0.58032,                0.61986,                 0.8646,             7.7105e-05,             7.7105e-05,             7.7105e-05
                    137,                0.68446,                 0.6643,                0.86475,                0.84235,                0.75933,                0.86569,                 0.7414,                0.58112,                0.61745,                0.86482,             7.2703e-05,             7.2703e-05,             7.2703e-05
                    138,                0.68154,                0.66335,                0.86839,                0.84605,                0.75553,                 0.8682,                0.74372,                0.58127,                0.61555,                0.86573,             6.8301e-05,             6.8301e-05,             6.8301e-05
                    139,                0.67868,                  0.662,                0.86647,                0.83642,                0.76825,                 0.8691,                0.74581,                0.57931,                0.61463,                0.86525,             6.3899e-05,             6.3899e-05,             6.3899e-05
                    140,                0.67699,                0.65748,                0.86319,                0.84695,                0.75998,                0.86965,                0.74556,                0.58099,                 0.6175,                0.86566,             6.3899e-05,             6.3899e-05,             6.3899e-05
                    141,                0.60391,                0.55451,                0.84422,                0.83297,                0.76446,                0.86657,                0.74366,                0.58171,                0.62148,                0.86503,             5.5094e-05,             5.5094e-05,             5.5094e-05
                    142,                0.60122,                0.55177,                0.84753,                0.83205,                0.77067,                0.86844,                0.74459,                0.58328,                0.62079,                0.86506,             5.0692e-05,             5.0692e-05,             5.0692e-05
                    143,                 0.5929,                0.53821,                0.84644,                0.85027,                0.75832,                0.86943,                0.74526,                0.58295,                0.61845,                0.86459,              4.629e-05,              4.629e-05,              4.629e-05
                    144,                0.59418,                 0.5374,                 0.8453,                 0.8452,                0.76358,                 0.8697,                0.74546,                 0.5816,                 0.6159,                0.86444,             4.1888e-05,             4.1888e-05,             4.1888e-05
                    145,                0.58703,                0.52782,                0.84433,                0.83943,                0.76445,                0.86919,                0.74531,                0.58227,                0.61837,                0.86495,             3.7485e-05,             3.7485e-05,             3.7485e-05
                    146,                0.58758,                0.52852,                0.84584,                  0.839,                0.76632,                0.86939,                0.74587,                0.58144,                0.61702,                0.86486,             3.3083e-05,             3.3083e-05,             3.3083e-05
                    147,                0.58534,                0.52136,                0.84145,                0.83931,                0.77032,                0.87008,                0.74574,                0.57983,                0.61506,                0.86473,             2.8681e-05,             2.8681e-05,             2.8681e-05
                    148,                0.58199,                0.52356,                0.84188,                0.83852,                0.77024,                0.86992,                0.74572,                0.57859,                0.61411,                0.86437,             2.4279e-05,             2.4279e-05,             2.4279e-05
                    149,                0.58295,                 0.5201,                0.84329,                0.83949,                0.76839,                0.86931,                0.74562,                0.57701,                0.61424,                0.86391,             1.9877e-05,             1.9877e-05,             1.9877e-05
                    150,                 0.5847,                0.52221,                0.84152,                0.83727,                0.77095,                0.86918,                0.74594,                0.57717,                 0.6147,                0.86427,             1.5474e-05,             1.5474e-05,             1.5474e-05
